3,Sun,September 24 2023,,Vikings,,,
4,Sun,October 1 2023,,Raiders,,,
6,Mon,October 16 2023,,Cowboys,,,
7,Sun,October 22 2023,,Chiefs,,,
8,Sun,October 29 2023,,Bears,,,
9,Mon,November 6 2023,,Jets,,,
10,Sun,November 12 2023,,Lions,,,
11,Sun,November 19 2023,,Packers,,,
12,Sun,November 26 2023,,Ravens,,,
13,Sun,December 3 2023,,Patriots,,,
14,Sun,December 10 2023,,Broncos,,,
15,Thu,December 14 2023,,Raiders,,,
16,Sat,December 23 2023,,Bills,,,
17,Sun,December 31 2023,,Broncos,,,
18,Sun,January 7 2024,,Chiefs,,,
